ID,Maxim,Zero-shot-CoT prompt,CoT prompt,Contrastive-CoT prompt
1,quantity,순차적으로 생각해봅시다.,해설: ﻿친구 관계에서 좋은 정도를 나타내고 있다.,잘못된 해설: ﻿좋은 게 좋은 것이라는 의미는 친구 관계 뿐만 아니라 모든 상황에 적용된다.
2,quantity,순차적으로 생각해봅시다.,해설: 마감 기한이 정해져 있는 규칙을 나타내고 있다.,잘못된 해설: 마감 기한이 정해져 있는 규칙을 깨는 것은 문제가 되지 않는다.
3,quantity,순차적으로 생각해봅시다.,해설: 민수와 철수는 다른 인간이다.,잘못된 해설: 민수와 철수는 대등한 인간이다.
4,quantity,순차적으로 생각해봅시다.,해설: 유명하지 않은 가수도 노래를 잘하는 가수이다.,잘못된 해설: 유명하지 않기 때문에 노래를 잘하는 가수가 아니다.
5,quantity,순차적으로 생각해봅시다.,해설: 이전 연인은 지나간 과거일뿐이다.,잘못된 해설: 지나간 과거에 현재까지 얽매여 있다.
6,quantity,순차적으로 생각해봅시다.,해설: 직장은 즐거운 장소가 아니며 힘든 일을 하는 곳이다.,잘못된 해설: 직장에 가는 것이 즐겁고 행복하다.
7,quantity,순차적으로 생각해봅시다.,해설: 영희는 철수가 오든지 안오든지 상관이 없다.,잘못된 해설: 영희는 철수가 오기를 바라고 있다.
8,quantity,순차적으로 생각해봅시다.,해설: 결과는 이기거나 지거나 둘 중 이길 수 있도록 최선을 다해야 한다.,잘못된 해설: 경기에서 이길 가능성이 없다.
9,quantity,순차적으로 생각해봅시다.,해설: 철수가 힘들게 구한 시험 기출 문제이기 때문에 영희가 봐주기를 바랄 것이다.,잘못된 해설: 철수는 힘들게 구한 시험 기출 문제를 영희가 보든지 말든지 상관 없다.
10,quantity,순차적으로 생각해봅시다.,"해설: 모든 사람은 남자 아니면 여자이므로 해당 내용은 정보로 볼 수 없으며, 따라서 철수는 신입사원에 대한 정보가 없다.",잘못된 해설: 철수는 신입사원의 성별이 아닌 다른 정보를 알고 있다.
11,quantity,순차적으로 생각해봅시다.,해설: 아이와 어른은 성숙한 정도를 나타낸다.,잘못된 해설: 영희는 사람을 아이와 어른으로 구분해서 차별한다.
12,quantity,순차적으로 생각해봅시다.,"해설: 시간은 낮이거나 밤이므로 해당 내용은 시간에 대한 정보로 볼 수 없으며, 따라서 영희는 독일 시간에 대한 정보가 없다.",잘못된 해설: 영희는 시간을 구분하지 못한다.
13,quantity,순차적으로 생각해봅시다.,해설: 영희가 배가 고파서 밥을 먹고 싶으면 먹을 것이다.,잘못된 해설: 영희는 밥을 먹지 않을 것이다.
14,quantity,순차적으로 생각해봅시다.,해설: 아이가 죽지 않고 살아있기를 바란다.,잘못된 해설: 아이가 죽었든지 살았든지 상관이 없다.
15,quantity,순차적으로 생각해봅시다.,해설: 그림을 그리려고 시도한다면 그릴 수 있을 것이다.,잘못된 해설: 그림을 매우 오래 열심히 그린다면 그릴 수 있을 것이다.
16,quantity,순차적으로 생각해봅시다.,해설: 직장에서 해고를 당한 어려운 상황에서도 살 수 있을 것이다.,잘못된 해설: 직장에서 해고를 당했기 때문에 살 이유가 없다.
17,quantity,순차적으로 생각해봅시다.,해설: 시험을 망치더라도 개의치 않겠다.,잘못된 해설: 시험을 망치지 않을 것이다.
18,quantity,순차적으로 생각해봅시다.,해설: 사기로 했으면 환불하지 않아야 한다.,잘못된 해설: 사기로 했지만 거래는 무효가 될 수 있다.
19,quantity,순차적으로 생각해봅시다.,해설: 고3은 수험생이기 때문에 힘든 삶을 산다.,잘못된 해설: 고3은 곧 대학에 가기 때문에 전혀 힘들지 않다.
20,quantity,순차적으로 생각해봅시다.,해설: 책에 대한 정보를 전달하지 않겠다.,잘못된 해설: 책에 대해 자세히 알려주겠다.
21,quantity,순차적으로 생각해봅시다.,해설: 이전 연인이 어디에 있어도 상관없다.,잘못된 해설: 이전 연인이 어디에 있는지 궁금하다.
22,quantity,순차적으로 생각해봅시다.,해설: 부당한 대우를 받고 참지 않는 사람이다.,잘못된 해설: 부당한 대우를 받아도 불만이 없는 사람이다.
23,quantity,순차적으로 생각해봅시다.,해설: 인생은 한 번이기 때문에 가고 싶은 유학을 가지 않으면 후회하게 될 것이다.,잘못된 해설: 인생은 한 번이기 때문에 유학을 가면 인생을 망치게 된다.
24,quantity,순차적으로 생각해봅시다.,해설: 철수가 영어 대신 한국어로 말하기를 바란다.,잘못된 해설: 철수가 한국어 대신 영어로 말하기를 바란다.
25,quantity,순차적으로 생각해봅시다.,해설: 현금은 있지만 5만원 짜리로 적은 금액의 붕어빵을 사는 것은 무리이다.,잘못된 해설: 현금이 있기 때문에 붕어빵을 살 수 있다.
26,quantity,순차적으로 생각해봅시다.,해설: 통장에 50만원이 있기 때문에 새로운 은행 상품에 가입할 수 있다.,잘못된 해설: 통장에 50만원이 있으나 새로운 은행 상품에 가입하기는 싫다.
