ID,Maxim,Standard_GPT-3.5,Zero_GPT-3.5,CoT_GPT-3.5,Contrastive_GPT-3.5,Standard_GPT-4o,Zero_GPT-4o,CoT_GPT-4o,Contrastive_GPT-4o,Standard_Gemini-1.0,Zero_Gemini-1.0,CoT_Gemini-1.0,Contrastive_Gemini-1.0,Standard_Gemini-1.5,Zero_Gemini-1.5,CoT_Gemini-1.5,Contrastive_Gemini-1.5,Standard_Llama3,Zero_Llama3,CoT_Llama3,Contrastive_Llama3,Standard_Clova-X,Zero_Clova-X,CoT_Clova-X,Contrastive_Clova-X
1,quantity,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1
2,quantity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,quantity,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,1,1
4,quantity,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1
5,quantity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,quantity,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1
7,quantity,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2
8,quantity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,quantity,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
10,quantity,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2
11,quantity,2,2,1,2,1,2,2,2,1,1,2,2,3,3,1,2,3,3,1,1,1,1,1,1
12,quantity,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1
13,quantity,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1
14,quantity,1,1,1,1,2,2,2,2,1,1,2,2,3,3,3,1,2,2,1,1,1,1,1,1
15,quantity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
16,quantity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,quantity,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
18,quantity,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1
19,quantity,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1
20,quantity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
21,quantity,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1
22,quantity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,quantity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,quantity,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
25,quantity,2,2,2,3,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1
26,quantity,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1
27,quantity,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1
28,quantity,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
29,quantity,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30,quantity,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2
31,quality,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
33,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
34,quality,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,quality,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
37,quality,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
38,quality,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1
39,quality,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
40,quality,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
41,quality,2,2,1,1,1,2,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1
42,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,quality,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
44,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1
45,quality,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
46,quality,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
47,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
48,quality,2,2,1,1,3,3,1,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3
49,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
50,quality,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
51,quality,1,1,1,1,1,3,1,1,3,3,3,3,1,1,1,1,2,1,2,2,1,1,1,1
